iter,client,numData,Acc,fairType,fairValue,Privileged,higher
37,1,1069,0.8749699592590332,SP,0.6674,Y,N
37,3,1600,0.9006972908973694,SP,0.9115,Y,Y
37,10,801,0.9011781811714172,SP,0.8822,Y,Y
38,3,1600,0.9004568457603455,SP,0.9162,Y,Y
38,5,1194,0.886751651763916,SP,0.637,Y,N
38,7,1906,0.9011781811714172,SP,0.8106,Y,N
39,2,1037,0.9016590714454651,SP,0.8167,Y,N
39,4,1570,0.8994950652122498,SP,0.9426,Y,Y
39,6,1646,0.8966097831726074,SP,0.9712,Y,Y
40,2,1037,0.9014186263084412,SP,0.8213,Y,N
40,4,1570,0.8999759554862976,SP,0.9401,Y,Y
40,7,1906,0.9009377360343933,SP,0.8121,Y,N
41,3,1600,0.9011781811714172,SP,0.9133,Y,Y
41,6,1646,0.8961288928985596,SP,0.9681,Y,Y
41,8,1168,0.8639096021652222,SP,0.4482,Y,N
42,3,1600,0.901899516582489,SP,0.9012,Y,N
42,7,1906,0.9031016826629639,SP,0.8067,Y,N
42,8,1168,0.8641500473022461,SP,0.4426,Y,N
43,3,1600,0.901899516582489,SP,0.9025,Y,Y
43,8,1168,0.8648713827133179,SP,0.4401,Y,N
43,10,801,0.8999759554862976,SP,0.9292,Y,Y
44,5,1194,0.8855494260787964,SP,0.6427,Y,N
44,7,1906,0.9023804068565369,SP,0.8082,Y,N
44,8,1168,0.864630937576294,SP,0.4542,Y,N
45,1,1069,0.8742486238479614,SP,0.6896,Y,N
45,7,1906,0.9026208519935608,SP,0.8035,Y,N
45,8,1168,0.8648713827133179,SP,0.4479,Y,N
46,6,1646,0.8961288928985596,SP,0.9651,Y,Y
46,8,1168,0.8651118278503418,SP,0.4529,Y,N
46,10,801,0.9002164006233215,SP,0.8969,Y,Y
47,3,1600,0.901899516582489,SP,0.9066,Y,Y
47,6,1646,0.8963693380355835,SP,0.9715,Y,Y
47,10,801,0.898773729801178,SP,0.9265,Y,Y
48,1,1069,0.8749699592590332,SP,0.6955,Y,N
48,2,1037,0.9021399617195129,SP,0.8313,Y,N
48,8,1168,0.8648713827133179,SP,0.4582,Y,N
49,2,1037,0.9014186263084412,SP,0.8293,Y,N
49,7,1906,0.9033421277999878,SP,0.8078,Y,N
49,8,1168,0.8648713827133179,SP,0.4564,Y,N
50,3,1600,0.9023804068565369,SP,0.9036,Y,Y
50,9,489,0.8963693380355835,SP,0.7452,Y,N
50,10,801,0.9002164006233215,SP,0.9336,Y,Y
