iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.49362826347351074,EQO,0.7111,N
1,val,0.8648713827133179,EQO,0.9818,Y
1,test,0.8641500473022461,EQO,0.9754,Y
2,val,0.8922817707061768,EQO,0.9936,N
2,test,0.8927626609802246,EQO,0.9939,Y
3,val,0.8954075574874878,EQO,0.9974,N
3,test,0.8954075574874878,EQO,0.9903,Y
4,val,0.8982928395271301,EQO,0.9734,Y
4,test,0.8961288928985596,EQO,0.9611,Y
5,val,0.8951671123504639,EQO,0.9947,Y
5,test,0.8956480026245117,EQO,0.984,Y
6,val,0.8968502283096313,EQO,0.9975,N
6,test,0.8966097831726074,EQO,0.9851,Y
7,val,0.8966097831726074,EQO,0.9542,N
7,test,0.8942053318023682,EQO,0.9841,N
8,val,0.8975715041160583,EQO,0.9926,Y
8,test,0.8966097831726074,EQO,0.9702,Y
9,val,0.9016590714454651,EQO,0.927,Y
9,test,0.8973311185836792,EQO,0.9361,Y
10,val,0.9014186263084412,EQO,0.8908,Y
10,test,0.8999759554862976,EQO,0.8947,Y
11,val,0.8968502283096313,EQO,0.9673,Y
11,test,0.8970906734466553,EQO,0.9616,Y
12,val,0.8992546200752258,EQO,0.9482,Y
12,test,0.8968502283096313,EQO,0.9527,Y
13,val,0.8958884477615356,EQO,0.985,Y
13,test,0.8973311185836792,EQO,0.9867,Y
14,val,0.8961288928985596,EQO,0.989,Y
14,test,0.8963693380355835,EQO,0.995,Y
15,val,0.8961288928985596,EQO,0.9888,N
15,test,0.8966097831726074,EQO,0.9959,N
16,val,0.8966097831726074,EQO,0.9694,N
16,test,0.8958884477615356,EQO,0.9952,N
17,val,0.8992546200752258,EQO,0.9004,Y
17,test,0.8961288928985596,EQO,0.9017,Y
18,val,0.9011781811714172,EQO,0.8397,Y
18,test,0.898773729801178,EQO,0.8455,Y
19,val,0.901899516582489,EQO,0.7621,Y
19,test,0.8994950652122498,EQO,0.7544,Y
20,val,0.8990141749382019,EQO,0.816,Y
20,test,0.8949266672134399,EQO,0.8016,Y
21,val,0.8982928395271301,EQO,0.9267,Y
21,test,0.8954075574874878,EQO,0.92,Y
22,val,0.898533284664154,EQO,0.9624,Y
22,test,0.8958884477615356,EQO,0.9552,Y
23,val,0.9009377360343933,EQO,0.8942,Y
23,test,0.8980523943901062,EQO,0.8787,Y
24,val,0.8980523943901062,EQO,0.9902,N
24,test,0.8956480026245117,EQO,0.9791,Y
25,val,0.9023804068565369,EQO,0.8539,Y
25,test,0.898533284664154,EQO,0.8291,Y
26,val,0.9033421277999878,EQO,0.8775,Y
26,test,0.901899516582489,EQO,0.856,Y
27,val,0.898773729801178,EQO,0.9748,Y
27,test,0.894686222076416,EQO,0.96,Y
28,val,0.8872324824333191,EQO,0.8679,N
28,test,0.876412570476532,EQO,0.8643,N
29,val,0.8857898712158203,EQO,0.8414,N
29,test,0.875691294670105,EQO,0.8465,N
30,val,0.8970906734466553,EQO,0.7479,Y
30,test,0.8896369338035583,EQO,0.7228,Y
31,val,0.9002164006233215,EQO,0.8695,Y
31,test,0.898773729801178,EQO,0.8356,Y
32,val,0.8855494260787964,EQO,0.9237,N
32,test,0.8699206709861755,EQO,0.9836,N
33,val,0.8949266672134399,EQO,0.9464,N
33,test,0.8893964886665344,EQO,0.9851,N
34,val,0.8978119492530823,EQO,0.979,N
34,test,0.8966097831726074,EQO,0.9793,Y
35,val,0.8990141749382019,EQO,0.9975,N
35,test,0.894686222076416,EQO,0.969,Y
36,val,0.9026208519935608,EQO,0.6193,Y
36,test,0.9016590714454651,EQO,0.629,Y
37,val,0.9028612375259399,EQO,0.798,Y
37,test,0.9016590714454651,EQO,0.7928,Y
38,val,0.8970906734466553,EQO,0.9449,Y
38,test,0.8980523943901062,EQO,0.946,Y
39,val,0.8970906734466553,EQO,0.9917,N
39,test,0.8956480026245117,EQO,0.976,Y
40,val,0.8865112066268921,EQO,0.7757,Y
40,test,0.8797788023948669,EQO,0.7755,Y
41,val,0.8203895092010498,EQO,0.7401,N
41,test,0.8074056506156921,EQO,0.725,N
42,val,0.8670353293418884,EQO,0.4185,Y
42,test,0.8619860410690308,EQO,0.4395,Y
43,val,0.8949266672134399,EQO,0.5164,Y
43,test,0.8958884477615356,EQO,0.5426,Y
44,val,0.8477999567985535,EQO,0.4722,Y
44,test,0.8485212922096252,EQO,0.4688,Y
45,val,0.8860303163528442,EQO,0.943,N
45,test,0.8737677335739136,EQO,0.9762,N
46,val,0.8297667503356934,EQO,0.9201,Y
46,test,0.8290454149246216,EQO,0.9933,Y
47,val,0.7304640412330627,EQO,0.2764,N
47,test,0.7230103611946106,EQO,0.303,N
48,val,0.8641500473022461,EQO,0.254,Y
48,test,0.8696802258491516,EQO,0.2401,Y
49,val,0.9026208519935608,EQO,0.6662,Y
49,test,0.9033421277999878,EQO,0.6713,Y
50,val,0.9045443534851074,EQO,0.7539,Y
50,test,0.9043039083480835,EQO,0.751,Y
