iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.518393874168396,EQO,0.4439,N
1,val,0.6419812440872192,EQO,0.8102,N
1,test,0.63957679271698,EQO,0.952,Y
2,val,0.6249098181724548,EQO,0.7707,N
2,test,0.6208223104476929,EQO,0.9661,N
3,val,0.7987496852874756,EQO,0.9537,N
3,test,0.789612889289856,EQO,0.9715,Y
4,val,0.8598220944404602,EQO,0.7976,N
4,test,0.8403462171554565,EQO,0.7926,N
5,val,0.8958884477615356,EQO,0.9939,N
5,test,0.8855494260787964,EQO,0.9967,Y
6,val,0.8961288928985596,EQO,0.9595,N
6,test,0.8857898712158203,EQO,0.9785,N
7,val,0.8889155983924866,EQO,0.8599,N
7,test,0.8817023038864136,EQO,0.8891,N
8,val,0.8956480026245117,EQO,1.0,Y
8,test,0.8853089809417725,EQO,1.0,Y
9,val,0.8963693380355835,EQO,0.9921,N
9,test,0.8855494260787964,EQO,0.9992,Y
10,val,0.8963693380355835,EQO,0.99,N
10,test,0.8860303163528442,EQO,0.9973,N
11,val,0.8963693380355835,EQO,0.9954,N
11,test,0.8869920372962952,EQO,0.99,Y
12,val,0.8982928395271301,EQO,0.9938,N
12,test,0.8891560435295105,EQO,0.9947,Y
13,val,0.9006972908973694,EQO,0.9813,N
13,test,0.8891560435295105,EQO,0.9952,Y
14,val,0.9011781811714172,EQO,0.9913,Y
14,test,0.890839159488678,EQO,0.9711,Y
15,val,0.8973311185836792,EQO,0.9987,N
15,test,0.8872324824333191,EQO,0.9873,Y
16,val,0.9023804068565369,EQO,0.8745,Y
16,test,0.8937244415283203,EQO,0.891,Y
17,val,0.9021399617195129,EQO,0.9199,Y
17,test,0.8915604948997498,EQO,0.929,Y
18,val,0.9009377360343933,EQO,0.9456,Y
18,test,0.8891560435295105,EQO,0.9562,Y
19,val,0.8980523943901062,EQO,0.9846,Y
19,test,0.8872324824333191,EQO,0.9792,Y
20,val,0.9006972908973694,EQO,0.9446,Y
20,test,0.8891560435295105,EQO,0.9562,Y
21,val,0.901899516582489,EQO,0.881,Y
21,test,0.8927626609802246,EQO,0.9058,Y
22,val,0.8978119492530823,EQO,0.9827,Y
22,test,0.8872324824333191,EQO,0.9773,Y
23,val,0.8975715041160583,EQO,0.9856,Y
23,test,0.8869920372962952,EQO,0.98,Y
24,val,0.8982928395271301,EQO,0.9817,Y
24,test,0.8879538178443909,EQO,0.9736,Y
25,val,0.8978119492530823,EQO,0.9954,Y
25,test,0.8872324824333191,EQO,0.9817,Y
26,val,0.8975715041160583,EQO,0.9983,Y
26,test,0.8872324824333191,EQO,0.9817,Y
27,val,0.9004568457603455,EQO,0.9487,Y
27,test,0.8896369338035583,EQO,0.9562,Y
28,val,0.9016590714454651,EQO,0.8671,Y
28,test,0.8937244415283203,EQO,0.8835,Y
29,val,0.9028612375259399,EQO,0.9004,Y
29,test,0.8922817707061768,EQO,0.9195,Y
30,val,0.8956480026245117,EQO,1.0,Y
30,test,0.8855494260787964,EQO,0.9973,Y
31,val,0.8956480026245117,EQO,1.0,Y
31,test,0.8853089809417725,EQO,1.0,Y
32,val,0.8956480026245117,EQO,1.0,Y
32,test,0.8853089809417725,EQO,1.0,Y
33,val,0.8956480026245117,EQO,1.0,Y
33,test,0.8853089809417725,EQO,1.0,Y
34,val,0.8956480026245117,EQO,1.0,Y
34,test,0.8853089809417725,EQO,1.0,Y
35,val,0.8956480026245117,EQO,1.0,Y
35,test,0.8853089809417725,EQO,1.0,Y
36,val,0.8956480026245117,EQO,1.0,Y
36,test,0.8853089809417725,EQO,1.0,Y
37,val,0.8956480026245117,EQO,0.9979,N
37,test,0.8855494260787964,EQO,0.9983,N
38,val,0.9014186263084412,EQO,0.9355,Y
38,test,0.8925222158432007,EQO,0.9282,Y
39,val,0.901899516582489,EQO,0.8848,Y
39,test,0.8939648866653442,EQO,0.8775,Y
40,val,0.8956480026245117,EQO,0.9979,N
40,test,0.8862707614898682,EQO,0.9937,Y
41,val,0.9035825729370117,EQO,0.8999,Y
41,test,0.8930031061172485,EQO,0.9094,Y
42,val,0.8978119492530823,EQO,0.9964,Y
42,test,0.8879538178443909,EQO,0.9773,Y
43,val,0.8990141749382019,EQO,0.9187,N
43,test,0.8886751532554626,EQO,0.9559,N
44,val,0.8843472003936768,EQO,0.7318,Y
44,test,0.8797788023948669,EQO,0.7459,Y
45,val,0.8992546200752258,EQO,0.7853,Y
45,test,0.8951671123504639,EQO,0.7815,Y
46,val,0.9033421277999878,EQO,0.8633,Y
46,test,0.8910796046257019,EQO,0.8898,Y
47,val,0.8956480026245117,EQO,1.0,Y
47,test,0.8853089809417725,EQO,1.0,Y
48,val,0.8975715041160583,EQO,0.9735,N
48,test,0.886751651763916,EQO,0.9799,N
49,val,0.8982928395271301,EQO,0.9382,N
49,test,0.8860303163528442,EQO,0.9598,N
50,val,0.8958884477615356,EQO,0.9981,N
50,test,0.8853089809417725,EQO,1.0,Y
