acc_SP,acc_EO,acc_EQO
0.846549642086029,0.8795624017715454,0.8680452048778534
0.8467660486698151,0.8886511027812958,0.8921375334262848
0.8421976387500762,0.8912719368934632,0.8928829073905945
0.856479924917221,0.8866314053535461,0.8904544472694397
0.8833373427391052,0.8886991977691651,0.8927386462688446
0.8765087783336639,0.8927626788616181,0.8952392518520356
0.8833854377269745,0.8881221413612366,0.8947583675384522
0.8895888328552246,0.8925222456455231,0.8940851211547851
0.8885789811611176,0.8936282873153687,0.8931233584880829
0.8902139902114868,0.8932676076889038,0.8950709342956543
0.8926184237003326,0.893772542476654,0.8956479966640473
0.8902380406856537,0.8933878362178802,0.8941812932491302
0.8901418566703796,0.8946862161159516,0.8940610766410828
0.8914642870426178,0.8940610706806182,0.8948545277118682
0.8928588509559632,0.8936523199081421,0.895143061876297
0.8911036372184753,0.8932435572147369,0.8942293763160706
0.8903342008590698,0.8924260675907135,0.893339741230011
0.8915845155715942,0.8922577559947967,0.8948545217514038
0.8939889311790467,0.8929790914058685,0.8945419490337372
0.8924981951713562,0.8915364146232605,0.8938446700572967
0.8916326045989991,0.8909353256225586,0.8943255543708801
0.8921134769916534,0.8908150970935822,0.8929790735244751
0.8906948745250702,0.8910315036773682,0.89177685379982
0.8895888447761535,0.889372444152832,0.8920173048973083
0.8905987083911896,0.8915604710578918,0.8864149928092957
0.8885068535804749,0.8900697350502014,0.8858860313892365
0.8881702303886414,0.8849002122879028,0.8869439780712127
0.8869680106639862,0.889829295873642,0.880235630273819
0.8798028409481049,0.8909834027290344,0.875715309381485
0.8791776955127716,0.8909112811088562,0.8825198292732239
0.8768934786319733,0.8910555303096771,0.8766530454158783
0.87706179022789,0.889829283952713,0.878865098953247
0.8834335029125213,0.8907429695129394,0.876725172996521
0.8844433724880219,0.8938446760177612,0.8709785997867584
0.888915604352951,0.8932916581630707,0.8690069735050201
0.8798749685287476,0.8939889430999756,0.8826881468296051
0.8893483996391296,0.8849002122879028,0.889372444152832
0.8904784739017486,0.8809809982776642,0.8849963903427124
0.8900937676429749,0.8718441963195801,0.868141382932663
0.8870401561260224,0.882495790719986,0.8814859330654145
0.8899735569953918,0.8682375609874725,0.8594614088535308
0.8826400578022003,0.8805962979793549,0.8706660211086273
0.882832407951355,0.8789612948894501,0.8720125019550323
0.8671074748039246,0.835080549120903,0.8723010301589966
0.8771820187568664,0.8525847554206848,0.8506852626800537
0.8842269718647003,0.8374849766492843,0.8442414045333863
0.8826641023159028,0.8670113027095795,0.863044011592865
0.8550132215023041,0.8932195186614991,0.8807646095752716
0.8556383728981019,0.8827121913433075,0.7201490730047226
0.8700649261474609,0.841235876083374,0.8701130092144013
