fair_SP,fair_EO,fair_EQO
0.7516200000000001,0.89685,0.83521
0.6813800000000001,0.8564300000000001,0.8265399999999999
0.7531800000000001,0.68258,0.7558
0.6789700000000001,0.8595900000000001,0.8059799999999999
0.80691,0.8527000000000001,0.7809400000000001
0.82441,0.7580399999999999,0.8310200000000002
0.8173600000000001,0.76266,0.8313500000000001
0.84773,0.75553,0.77323
0.74721,0.67515,0.86302
0.88056,0.8722800000000002,0.8547800000000001
0.8540599999999999,0.77467,0.8624700000000001
0.86915,0.8405999999999999,0.87036
0.87698,0.8658899999999999,0.88124
0.8747999999999999,0.97447,0.86554
0.80371,0.97119,0.8852399999999999
0.91838,0.9833999999999999,0.8883700000000001
0.9175400000000001,0.88473,0.8816899999999999
0.8116999999999999,0.8850199999999999,0.9154899999999999
0.8043500000000001,0.8901899999999999,0.9196300000000001
0.9212400000000001,0.88796,0.90459
0.92974,0.78556,0.91576
0.9250499999999999,0.5858700000000001,0.93352
0.9471799999999998,0.5889,0.9194700000000001
0.97269,0.87485,0.9363999999999999
0.97263,0.8741199999999999,0.9248999999999998
0.9785300000000001,0.9737899999999999,0.9231199999999997
0.9671700000000001,0.8795200000000001,0.9276200000000001
0.9672099999999999,0.8819199999999998,0.8878199999999999
0.87113,0.78894,0.90277
0.9723499999999999,0.8820400000000002,0.9168799999999999
0.8588199999999999,0.88604,0.9272600000000001
0.75876,0.8660400000000001,0.8547499999999999
0.85842,0.8751300000000001,0.8760499999999999
0.93787,0.86968,0.9105399999999999
0.96689,0.8737299999999999,0.87585
0.8623100000000001,0.76898,0.9131200000000002
0.8465300000000001,0.87417,0.8850399999999998
0.9696999999999999,0.8594099999999999,0.8970600000000001
0.9711299999999999,0.83927,0.8661
0.9258299999999998,0.87117,0.8616400000000001
0.9691600000000001,0.9884999999999999,0.8875599999999999
0.97277,0.8811500000000001,0.9102099999999999
0.92584,0.6806699999999999,0.81416
0.85495,0.7261099999999999,0.7470800000000001
0.84901,0.8477,0.87828
0.8964699999999999,0.86406,0.76338
0.7404399999999999,0.85099,0.81691
0.89534,0.84688,0.7920299999999999
0.7163600000000001,0.74818,0.6871600000000001
0.74597,0.67809,0.77949
