iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.425102174282074,EO,0.9,N
1,val,0.8937244415283203,EO,0.8976,Y
1,test,0.8865112066268921,EO,0.8585,Y
2,val,0.8997355103492737,EO,0.874,Y
2,test,0.8937244415283203,EO,0.8455,Y
3,val,0.9035825729370117,EO,0.91,Y
3,test,0.8942053318023682,EO,0.8432,Y
4,val,0.8997355103492737,EO,0.982,Y
4,test,0.8915604948997498,EO,0.9636,Y
5,val,0.8963693380355835,EO,0.996,Y
5,test,0.8922817707061768,EO,0.9886,Y
6,val,0.9031016826629639,EO,0.936,Y
6,test,0.8973311185836792,EO,0.9114,Y
7,val,0.8982928395271301,EO,0.7474,Y
7,test,0.8884347081184387,EO,0.6673,Y
8,val,0.8990141749382019,EO,0.758,Y
8,test,0.8872324824333191,EO,0.6659,Y
9,val,0.9064679145812988,EO,0.914,Y
9,test,0.898773729801178,EO,0.8727,Y
10,val,0.9028612375259399,EO,0.956,Y
10,test,0.8951671123504639,EO,0.9386,Y
11,val,0.9052656888961792,EO,0.872,Y
11,test,0.8968502283096313,EO,0.825,Y
12,val,0.9040634632110596,EO,0.93,Y
12,test,0.8968502283096313,EO,0.9045,Y
13,val,0.9045443534851074,EO,0.9509,Y
13,test,0.8963693380355835,EO,0.9187,Y
14,val,0.9016590714454651,EO,0.974,Y
14,test,0.8942053318023682,EO,0.9591,Y
15,val,0.8980523943901062,EO,0.994,Y
15,test,0.8927626609802246,EO,0.9841,Y
16,val,0.8963693380355835,EO,0.994,Y
16,test,0.8918009400367737,EO,0.9886,Y
17,val,0.9011781811714172,EO,0.984,Y
17,test,0.8951671123504639,EO,0.9795,Y
18,val,0.9009377360343933,EO,0.984,Y
18,test,0.8954075574874878,EO,0.9795,Y
19,val,0.9088723063468933,EO,0.9321,Y
19,test,0.8956480026245117,EO,0.9109,Y
20,val,0.8889155983924866,EO,0.8761,Y
20,test,0.8819427490234375,EO,0.8473,Y
21,val,0.8896369338035583,EO,0.8899,Y
21,test,0.8814619183540344,EO,0.8534,Y
22,val,0.8990141749382019,EO,0.978,Y
22,test,0.8872324824333191,EO,0.954,Y
23,val,0.9035825729370117,EO,0.9909,Y
23,test,0.8903582692146301,EO,0.9886,Y
24,val,0.8802596926689148,EO,0.9755,Y
24,test,0.8737677335739136,EO,0.9641,Y
25,val,0.8978119492530823,EO,0.9753,Y
25,test,0.8865112066268921,EO,0.9529,Y
26,val,0.9021399617195129,EO,0.9843,Y
26,test,0.8973311185836792,EO,0.9809,Y
27,val,0.9011781811714172,EO,0.98,Y
27,test,0.8954075574874878,EO,0.9727,Y
28,val,0.9026208519935608,EO,0.958,Y
28,test,0.8958884477615356,EO,0.9409,Y
29,val,0.9050252437591553,EO,0.9639,Y
29,test,0.890839159488678,EO,0.9412,Y
30,val,0.9035825729370117,EO,0.9818,Y
30,test,0.8958884477615356,EO,0.9842,Y
31,val,0.9002164006233215,EO,0.9965,Y
31,test,0.8951671123504639,EO,0.9859,Y
32,val,0.8956480026245117,EO,0.996,Y
32,test,0.8922817707061768,EO,0.9955,Y
33,val,0.8956480026245117,EO,0,Y
33,test,0.8922817707061768,EO,0,Y
34,val,0.9023804068565369,EO,0.968,Y
34,test,0.8958884477615356,EO,0.9545,Y
35,val,0.9011781811714172,EO,0.9892,Y
35,test,0.894686222076416,EO,0.9807,Y
36,val,0.8970906734466553,EO,0.9949,Y
36,test,0.8942053318023682,EO,0.9944,Y
37,val,0.8968502283096313,EO,0.994,Y
37,test,0.8944457769393921,EO,0.9932,Y
38,val,0.8817023038864136,EO,0.9652,N
38,test,0.8785765767097473,EO,0.9632,N
39,val,0.9064679145812988,EO,0.9538,Y
39,test,0.8973311185836792,EO,0.9338,Y
40,val,0.8961288928985596,EO,0.994,Y
40,test,0.8934839963912964,EO,0.9977,Y
41,val,0.8961288928985596,EO,0.998,Y
41,test,0.8939648866653442,EO,0,Y
42,val,0.8970906734466553,EO,0.994,Y
42,test,0.8949266672134399,EO,0.9932,Y
43,val,0.9002164006233215,EO,0.9942,N
43,test,0.890839159488678,EO,0.9887,N
44,val,0.9071892499923706,EO,0.9275,Y
44,test,0.8963693380355835,EO,0.8996,Y
45,val,0.87232506275177,EO,0.985,Y
45,test,0.8641500473022461,EO,0.9652,Y
46,val,0.9038230180740356,EO,0.9908,Y
46,test,0.8910796046257019,EO,0.9963,Y
47,val,0.8963693380355835,EO,0,Y
47,test,0.8937244415283203,EO,0.9997,N
48,val,0.9052656888961792,EO,0.953,Y
48,test,0.8982928395271301,EO,0.9441,Y
49,val,0.8879538178443909,EO,0.9731,N
49,test,0.8857898712158203,EO,0.9634,N
50,val,0.552777111530304,EO,0.9167,Y
50,test,0.5438807606697083,EO,0.9117,Y
