fair_SP,fair_EO,fair_EQO
0.69739,0.66598,0.55023
0.72595,0.77576,0.72211
0.69435,0.82831,0.69473
0.63065,0.6628,0.77451
0.74117,0.69578,0.72396
0.75925,0.73629,0.70978
0.7401,0.63633,0.65607
0.81349,0.65432,0.83812
0.85092,0.57084,0.84389
0.88803,0.58015,0.83423
0.90023,0.68601,0.8699
0.89547,0.86925,0.8585
0.88422,0.88112,0.87346
0.80446,0.88196,0.89417
0.80055,0.87548,0.80383
0.90198,0.87435,0.82192
0.80975,0.88385,0.82497
0.82363,0.87697,0.83121
0.82266,0.68294,0.82762
0.8231,0.58605,0.84104
0.83029,0.68792,0.93619
0.84539,0.78618,0.93255
0.84029,0.78941,0.94121
0.84353,0.69429,0.93597
0.93238,0.69688,0.83634
0.93807,0.78046,0.84506
0.83986,0.78608,0.74602
0.93655,0.78668,0.75421
0.93608,0.88572,0.84987
0.84598,0.78708,0.86275
0.94764,0.88828,0.95722
0.96306,0.79406,0.85479
0.85315,0.88758,0.94569
0.86554,0.89369,0.8463
0.86426,0.69529,0.85757
0.93842,0.78747,0.84152
0.86161,0.88113,0.75131
0.8229,0.78575,0.84121
0.93853,0.79152,0.8537
0.94053,0.88119,0.86345
0.84881,0.87912,0.9557
0.9651,0.78538,0.94324
0.84384,0.99081,0.86896
0.83539,0.97688,0.74792
0.87274,0.69413,0.9319
0.93891,0.78368,0.7538
0.8117,0.7739,0.6325
0.7983,0.84215,0.54421
0.8363,0.73329,0.87541
0.64567,0.72024,0.64534
