iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,1,625,0.76725172996521,SP,1.4195,N,Y
1,4,1442,0.8817023038864136,SP,0.9508,N,Y
1,6,2317,0.8886751532554626,SP,1.8543,N,Y
2,3,3411,0.9014186263084412,SP,0.8882,Y,N
2,5,1505,0.8990141749382019,SP,0.9873,Y,Y
2,7,516,0.5732147097587585,SP,2.0474,Y,Y
3,5,1505,0.8999759554862976,SP,0.9655,Y,Y
3,8,1236,0.8975715041160583,SP,0.6707,Y,N
3,10,1104,0.9016590714454651,SP,0.8142,Y,N
4,1,625,0.87232506275177,SP,0.5786,Y,N
4,4,1442,0.8881942629814148,SP,1.0371,Y,Y
4,7,516,0.7359942197799683,SP,1.4291,Y,Y
5,4,1442,0.8893964886665344,SP,0.9628,N,N
5,8,1236,0.9009377360343933,SP,1.3908,N,Y
5,10,1104,0.9026208519935608,SP,1.2015,N,Y
6,6,2317,0.8896369338035583,SP,0.5211,Y,N
6,9,116,0.8838663101196289,SP,0.8445,Y,N
6,10,1104,0.9009377360343933,SP,0.8066,Y,N
7,5,1505,0.901899516582489,SP,0.8162,Y,N
7,7,516,0.7465736865997314,SP,1.4084,Y,Y
7,10,1104,0.8990141749382019,SP,0.7674,Y,N
8,1,625,0.8641500473022461,SP,0.5977,Y,N
8,6,2317,0.8884347081184387,SP,0.5106,Y,N
8,10,1104,0.8992546200752258,SP,0.7779,Y,N
9,4,1442,0.8898773789405823,SP,1.0429,Y,Y
9,9,116,0.8809810280799866,SP,0.5887,Y,N
9,10,1104,0.8990141749382019,SP,0.7492,Y,N
10,5,1505,0.9021399617195129,SP,0.8599,Y,N
10,6,2317,0.8891560435295105,SP,0.5181,Y,N
10,10,1104,0.8997355103492737,SP,0.7568,Y,N
11,3,3411,0.901899516582489,SP,0.8248,Y,N
11,6,2317,0.8881942629814148,SP,0.5121,Y,N
11,10,1104,0.898533284664154,SP,0.7462,Y,N
12,3,3411,0.9016590714454651,SP,0.8233,Y,N
12,5,1505,0.9004568457603455,SP,0.7613,Y,N
12,9,116,0.8812214732170105,SP,0.5885,Y,N
13,5,1505,0.9002164006233215,SP,0.7598,Y,N
13,8,1236,0.8956480026245117,SP,0.6405,Y,N
13,9,116,0.8812214732170105,SP,0.5751,Y,N
14,1,625,0.8679971098899841,SP,0.545,Y,N
14,3,3411,0.9009377360343933,SP,0.8036,Y,N
14,6,2317,0.8881942629814148,SP,0.5151,Y,N
15,1,625,0.8677566647529602,SP,0.5346,Y,N
15,2,208,0.8730463981628418,SP,0.5013,Y,N
15,10,1104,0.8992546200752258,SP,0.7236,Y,N
16,1,625,0.8663139939308167,SP,0.524,Y,N
16,7,516,0.7662899494171143,SP,1.3612,Y,Y
16,8,1236,0.8949266672134399,SP,0.6299,Y,N
17,4,1442,0.8893964886665344,SP,1.0486,Y,Y
17,6,2317,0.8886751532554626,SP,0.5211,Y,N
17,10,1104,0.8990141749382019,SP,0.7402,Y,N
18,2,208,0.8655927181243896,SP,0.621,Y,N
18,7,516,0.7194036841392517,SP,1.4856,Y,Y
18,8,1236,0.8958884477615356,SP,0.6631,Y,N
19,3,3411,0.901899516582489,SP,0.8429,Y,N
19,4,1442,0.883625864982605,SP,1.0665,Y,Y
19,6,2317,0.8891560435295105,SP,0.5242,Y,N
20,3,3411,0.9016590714454651,SP,0.8444,Y,N
20,6,2317,0.8889155983924866,SP,0.5257,Y,N
20,8,1236,0.8966097831726074,SP,0.6798,Y,N
21,1,625,0.8559749722480774,SP,0.6388,Y,N
21,3,3411,0.9016590714454651,SP,0.8414,Y,N
21,5,1505,0.8999759554862976,SP,0.9587,Y,N
22,2,208,0.8610242605209351,SP,0.659,Y,N
22,4,1442,0.8869920372962952,SP,1.0555,Y,Y
22,7,516,0.6879057288169861,SP,1.5874,Y,Y
23,4,1442,0.8845876455307007,SP,0.9417,N,N
23,6,2317,0.8901178240776062,SP,1.8754,N,Y
23,9,116,0.8610242605209351,SP,1.104,N,Y
24,3,3411,0.9014186263084412,SP,0.8429,Y,N
24,6,2317,0.8901178240776062,SP,0.5332,Y,N
24,8,1236,0.8968502283096313,SP,0.6813,Y,N
25,1,625,0.8540514707565308,SP,0.6298,Y,N
25,7,516,0.6744409799575806,SP,1.6288,Y,Y
25,10,1104,0.8994950652122498,SP,0.7462,Y,N
26,3,3411,0.9016590714454651,SP,1.1758,N,Y
26,4,1442,0.8881942629814148,SP,0.954,N,N
26,9,116,0.8576580882072449,SP,1.1188,N,Y
27,2,208,0.8465977311134338,SP,0.6999,Y,N
27,4,1442,0.887472927570343,SP,1.0536,Y,Y
27,8,1236,0.8968502283096313,SP,0.6782,Y,N
28,1,625,0.849242627620697,SP,1.4821,N,Y
28,4,1442,0.8860303163528442,SP,0.9451,N,N
28,6,2317,0.8898773789405823,SP,1.8807,N,Y
29,1,625,0.8523683547973633,SP,0.6275,Y,N
29,2,208,0.8497235178947449,SP,0.6707,Y,N
29,10,1104,0.8994950652122498,SP,0.7402,Y,N
30,1,625,0.8526087999343872,SP,0.6237,Y,N
30,2,208,0.8504447937011719,SP,0.6553,Y,N
30,3,3411,0.9014186263084412,SP,0.8399,Y,N
31,1,625,0.8521279096603394,SP,0.6087,Y,N
31,3,3411,0.9014186263084412,SP,0.8459,Y,N
31,8,1236,0.8949266672134399,SP,0.6601,Y,N
32,4,1442,0.890839159488678,SP,1.0386,Y,Y
32,8,1236,0.8937244415283203,SP,0.6495,Y,N
32,10,1104,0.8990141749382019,SP,0.7372,Y,N
33,4,1442,0.8857898712158203,SP,1.0565,Y,Y
33,5,1505,0.8997355103492737,SP,0.9573,Y,N
33,10,1104,0.8994950652122498,SP,0.7432,Y,N
34,3,3411,0.9021399617195129,SP,1.1717,N,Y
34,4,1442,0.8848280906677246,SP,0.942,N,N
34,5,1505,0.8992546200752258,SP,1.0117,N,Y
35,2,208,0.8518874645233154,SP,1.4401,N,Y
35,7,516,0.6609761714935303,SP,0.5957,N,N
35,8,1236,0.8966097831726074,SP,1.4843,N,Y
36,1,625,0.8521279096603394,SP,0.6133,Y,N
36,2,208,0.8509256839752197,SP,0.6355,Y,N
36,9,116,0.8526087999343872,SP,0.7191,Y,N
37,4,1442,0.8879538178443909,SP,1.0498,Y,Y
37,5,1505,0.9014186263084412,SP,0.8518,Y,N
37,9,116,0.8511661291122437,SP,0.7084,Y,N
38,5,1505,0.898533284664154,SP,1.0117,N,Y
38,8,1236,0.8968502283096313,SP,1.4876,N,Y
38,10,1104,0.8994950652122498,SP,1.3401,N,Y
39,1,625,0.8518874645233154,SP,0.6032,Y,N
39,3,3411,0.9021399617195129,SP,0.8384,Y,N
39,6,2317,0.8891560435295105,SP,0.5242,Y,N
40,1,625,0.8528492450714111,SP,0.5879,Y,N
40,7,516,0.6705939173698425,SP,1.6519,Y,Y
40,8,1236,0.8958884477615356,SP,0.6631,Y,N
41,5,1505,0.8978119492530823,SP,0.992,N,Y
41,6,2317,0.8889155983924866,SP,1.9023,N,Y
41,7,516,0.560711681842804,SP,0.469,N,N
42,1,625,0.8511661291122437,SP,0.5988,Y,N
42,8,1236,0.8949266672134399,SP,0.648,Y,N
42,9,116,0.8490021824836731,SP,0.7253,Y,N
43,3,3411,0.9014186263084412,SP,0.8278,Y,N
43,8,1236,0.8951671123504639,SP,0.6465,Y,N
43,9,116,0.8477999567985535,SP,0.6986,Y,N
44,3,3411,0.9011781811714172,SP,0.8263,Y,N
44,8,1236,0.8956480026245117,SP,0.6405,Y,N
44,10,1104,0.9002164006233215,SP,0.7054,Y,N
45,1,625,0.8545323610305786,SP,0.5632,Y,N
45,6,2317,0.8891560435295105,SP,0.5242,Y,N
45,9,116,0.8523683547973633,SP,0.6446,Y,N
46,1,625,0.8550132513046265,SP,0.5546,Y,N
46,2,208,0.8540514707565308,SP,0.5556,Y,N
46,6,2317,0.8891560435295105,SP,0.5242,Y,N
47,1,625,0.8564558625221252,SP,0.5446,Y,N
47,5,1505,0.9002164006233215,SP,0.7503,Y,N
