fair_SP,fair_EO,fair_EQO
0.7887299999999999,0.7669599999999999,0.74151
0.76499,0.88377,0.8780200000000002
0.75547,0.90629,0.93495
0.7002900000000001,0.9290399999999999,0.8998000000000002
0.7430100000000001,0.9313800000000001,0.8839400000000002
0.8234999999999999,0.90855,0.8310700000000001
0.8115600000000001,0.95344,0.8160700000000001
0.83848,0.8674800000000001,0.8375100000000002
0.84694,0.9688400000000001,0.9020199999999999
0.77639,0.9684900000000001,0.87234
0.76001,0.9730699999999999,0.8637599999999999
0.75858,0.8774000000000001,0.8487499999999999
0.78773,0.88344,0.8862399999999999
0.81211,0.7841400000000001,0.8971899999999999
0.7084999999999999,0.8835000000000001,0.9005000000000001
0.8074899999999999,0.88459,0.9077100000000001
0.82606,0.88712,0.90568
0.82864,0.88482,0.9079900000000001
0.7290500000000001,0.89086,0.91074
0.83165,0.8909600000000001,0.92757
0.9376599999999999,0.8913,0.94091
0.94231,0.6930800000000001,0.9332800000000001
0.8404299999999999,0.79459,0.9439
0.83955,0.89269,0.9255599999999999
0.83378,0.99068,0.94535
0.63791,0.98916,0.94536
0.74313,0.8905199999999999,0.9450800000000001
0.74698,0.9907300000000001,0.93815
0.8642900000000001,0.98912,0.90961
0.86098,0.6892500000000001,0.94214
0.9700300000000001,0.7960999999999999,0.95468
0.96973,0.8904299999999999,0.96912
0.7628400000000001,0.8870100000000001,0.95365
0.86288,0.8893600000000002,0.9714600000000001
0.96584,0.8858500000000001,0.9773100000000001
0.78072,0.8924700000000001,0.9620599999999999
0.9882,0.79235,0.9730599999999999
0.89062,0.79068,0.95128
0.7657600000000001,0.87751,0.9572400000000002
0.9674200000000001,0.87438,0.9767299999999999
0.8738699999999999,0.69026,0.969
0.77416,0.88972,0.9683200000000001
0.76284,0.87279,0.93422
0.8869200000000002,0.7843,0.91855
0.6749799999999999,0.67716,0.89096
0.96616,0.76538,0.9396400000000001
0.6841999999999999,0.78367,0.91317
0.7437900000000001,0.57362,0.91813
0.72694,0.6972599999999999,0.89144
0.70946,0.93794,0.92594
